Rsz	Vjel	NEV__________	Atomtomeg___	Suruseg___	Olvadasp.	Forrasp.	Fajho	E-neg
109	Mt	meitnerium	279	35	-	-	-	-
110	Ds	darmstadtium	278	21,46	-	-	-	-
111	Rg	r”ntgenium	283	19,282	-	-	-	-
112	Cn	kopernˇcium	285	13,5336	-	-	-	-
113	Uut	nihonium	287	11,85	-	-	-	-
114	Fl	flerovium	289	11,342	-	-	-	-
115	Uup	moscovium	291	9,807	-	-	-	-
116	Lv	livermorium	293	9,32	-	-	-	-
117	Uuh	tenessine	-	-	-	-	-	-
118	Uuo	oganesson	294	-	-	-	-	-
119	Uue	ununennium	295	-	-	-	-	-
120	Ubn	unbinilium	297	-	-	-	-	-
121	Ubu	unbiunium	299	-	-	-	-	-
